sr no,city,zip code,No Bathroom,No bedroom,price  per squrefoot,area_name,property type,furnishing,status,transaction,facing,floor,ownership,area sqft
1696,Vadodara,390025,4,4,1905,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,2100
1697,Vadodara,390025,2,2,3471,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,1498
1698,Vadodara,390025,2,2,3071,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,East,4.0,Freehold,1498
1699,Vadodara,390025,2,3,6522,Waghodia Road,House,Unfurnished,Ready to Move,Resale,Unknown,,Unknown,1150
1700,Vadodara,390025,3,3,5882,Waghodia Road,House,Unfurnished,Ready to Move,Resale,East,,Freehold,1700
1701,Vadodara,390025,2,2,3200,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,Unknown,1.0,Unknown,1000
1702,Vadodara,390025,2,2,3548,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,North,11.0,Co-operative Society,1071
1703,Vadodara,390025,3,2,2619,Waghodia Road,House,Unfurnished,Ready to Move,Resale,Unknown,2.0,Unknown,840
1704,Vadodara,390025,2,2,3500,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,East,4.0,Freehold,700
1705,Vadodara,390025,2,2,2694,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Freehold,1225
1706,Vadodara,390025,1,2,4587,Waghodia Road,House,Unknown,Ready to Move,Resale,North,,Freehold,1417
1707,Vadodara,390025,1,1,1945,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,Unknown,3.0,Unknown,437
1708,Vadodara,390025,2,2,3782,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,Unknown,1.0,Unknown,1190
1709,Vadodara,390025,2,3,9000,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,Unknown,,Co-operative Society,500
1710,Vadodara,390025,1,2,2267,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,750
1711,Vadodara,390025,4,4,3600,Waghodia Road,Penthouse,Semi-Furnished,Ready to Move,Resale,Unknown,4.0,Unknown,1000
1712,Vadodara,390025,3,3,4743,Waghodia Road,House,Semi-Furnished,Unknown,New Property,East,3.0,Co-operative Society,1265
1713,Vadodara,390025,3,3,6021,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,Unknown,1.0,Unknown,681
1714,Vadodara,390025,2,2,5774,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,Unknown,2.0,Unknown,866
1715,Vadodara,390025,3,3,5293,Waghodia Road,House,Unfurnished,Ready to Move,Resale,East,,Freehold,1417
1716,Vadodara,390025,3,4,4474,Waghodia Road,House,Semi-Furnished,Ready to Move,Resale,Unknown,,Unknown,1900
1717,Vadodara,390025,3,3,6938,Waghodia Road,House,Unfurnished,Ready to Move,Resale,East,2.0,Freehold,800
1718,Vadodara,390025,2,3,2000,Waghodia Road,House,Semi-Furnished,Unknown,Resale,South -West,2.0,Co-operative Society,1200
1719,Vadodara,390025,3,3,4756,Waghodia Road,Apartment,Unfurnished,Unknown,New Property,Unknown,,Unknown,1190
1720,Vadodara,390025,2,2,3219,Waghodia Road,Apartment,Semi-Furnished,Unknown,Resale,Unknown,5.0,Unknown,1050
1721,Vadodara,390025,2,2,2762,Waghodia Road,Apartment,Semi-Furnished,Ready to Move,Resale,Unknown,3.0,Unknown,1050
1722,Vadodara,390025,2,2,5083,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,South,2.0,Freehold,600
1723,Vadodara,390025,2,3,4639,Waghodia Road,Apartment,Unfurnished,Ready to Move,Resale,East,6.0,Freehold,970
1724,Vadodara,390020,3,3,4031,Akota,Apartment,Unfurnished,Ready to Move,Resale,East,1.0,Freehold,1935
1725,Vadodara,390020,3,3,5000,Akota,Apartment,Furnished,Ready to Move,Resale,East,3.0,Freehold,1300
1726,Vadodara,390020,3,3,4593,Akota,Apartment,Semi-Furnished,Ready to Move,Resale,East,3.0,Co-operative Society,1350
